strain	strain_link	taxa_link	class	environment	scientific_name
NIVA-CYA 160/2	https://norcca.scrol.net/strain/niva-cya-1602	https://norcca.scrol.net/species/microcystis-aeruginosa	Cyanophyceae	Freshwater	Microcystis aeruginosa
NIVA-CYA 161/1	https://norcca.scrol.net/strain/niva-cya-1611	https://norcca.scrol.net/species/microcystis-botrys	Cyanophyceae	Freshwater	Microcystis botrys
NIVA-CYA 161/3	https://norcca.scrol.net/strain/niva-cya-1613	https://norcca.scrol.net/species/microcystis-botrys	Cyanophyceae	Freshwater	Microcystis botrys
NIVA-CYA 162/3	https://norcca.scrol.net/strain/niva-cya-1623	https://norcca.scrol.net/species/microcystis-aeruginosa	Cyanophyceae	Freshwater	Microcystis aeruginosa
NIVA-CYA 162/4	https://norcca.scrol.net/strain/niva-cya-1624	https://norcca.scrol.net/species/microcystis-aeruginosa	Cyanophyceae	Freshwater	Microcystis aeruginosa
NIVA-CYA 163	https://norcca.scrol.net/strain/niva-cya-163	https://norcca.scrol.net/species/spirulina-subsalsa	Cyanophyceae	Aqarium, seawater	Spirulina subsalsa
NIVA-CYA 164	https://norcca.scrol.net/strain/niva-cya-164	https://norcca.scrol.net/species/spirulina-subsalsa	Cyanophyceae	Aqarium, seawater	Spirulina subsalsa
NIVA-CYA 165	https://norcca.scrol.net/strain/niva-cya-165	https://norcca.scrol.net/species/phormidium-cf-chalybea	Cyanophyceae	Aqarium, seawater	Phormidium cf. chalybea
NIVA-CYA 166	https://norcca.scrol.net/strain/niva-cya-166	https://norcca.scrol.net/species/microcystis-aeruginosa	Cyanophyceae	Freshwater	Microcystis aeruginosa
NIVA-CYA 168	https://norcca.scrol.net/strain/niva-cya-168	https://norcca.scrol.net/species/planktothrix-mougeotii	Cyanophyceae	Freshwater	Planktothrix mougeotii
NIVA-CYA 169/7	https://norcca.scrol.net/strain/niva-cya-1697	https://norcca.scrol.net/species/microcystis-viridis	Cyanophyceae	Freshwater	Microcystis viridis
NIVA-CYA 169/8	https://norcca.scrol.net/strain/niva-cya-1698	https://norcca.scrol.net/species/microcystis-viridis	Cyanophyceae	Freshwater	Microcystis viridis
NIVA-CYA 169/9	https://norcca.scrol.net/strain/niva-cya-1699	https://norcca.scrol.net/species/microcystis-viridis	Cyanophyceae	Freshwater	Microcystis viridis
NIVA-CYA 17	https://norcca.scrol.net/strain/niva-cya-17	https://norcca.scrol.net/species/dolichospermum-cf-sigmoideum	Cyanophyceae	Freshwater	Dolichospermum cf. sigmoideum
NIVA-CYA 171/10	https://norcca.scrol.net/strain/niva-cya-17110	https://norcca.scrol.net/species/microcystis-botrys	Cyanophyceae	Freshwater	Microcystis botrys
NIVA-CYA 172/5	https://norcca.scrol.net/strain/niva-cya-1725	https://norcca.scrol.net/species/microcystis-sp	Cyanophyceae	Freshwater	Microcystis sp.
NIVA-CYA 173	https://norcca.scrol.net/strain/niva-cya-173	https://norcca.scrol.net/species/oscillatoria-cf-major	Cyanophyceae	Freshwater, pond	Oscillatoria cf. major
