ScientificName	AphiaID	Match type	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	used_aphia_id	comment
Ardissonea	163703	exact	Ardissonea	G. De Notaris in G. De Notaris & F. Baglietto, 1870	163703	Ardissonea	G. De Notaris in G. De Notaris & F. Baglietto, 1870	163703	
Ceratoneis arcus	593830	exact	Ceratoneis arcus	(Ehrenberg) Kützing, 1844	180342	Hannaea arcus	(Ehrenberg) R.M.Patrick in Patrick & Reimer, 1966	180342	
Ctenophora pulchella	163922	exact	Ctenophora pulchella	(Ralfs ex Kützing) D.M.Williams & Round, 1986	163922	Ctenophora pulchella	(Ralfs ex Kützing) D.M.Williams & Round, 1986	163922	
Diatoma	149013	exact	Diatoma	J.B.M. Bory de Saint-Vincent, 1824	149013	Diatoma	J.B.M. Bory de Saint-Vincent, 1824	149013	
Diatoma moniliformis	164000	exact	Diatoma moniliformis	Kützing, 1833	164000	Diatoma moniliformis	Kützing, 1833	164000	
Fossula	450725	exact	Fossula	G.R. Hasle, E.E. Syvertsen & C.H. von Quillfeldt, 1996	1475704	Fossulaphycus	Blanco, 2020	1475704	
Fragilaria delidatissima	665157	near_1	Fragilaria delicatissima	(W.Smith) Lange-Bertalot, 1980	985550	Synedra delicatissima f. delicatissima	W. Smith, 1853	985550	
Fragilaria capitellata	667263	exact	Fragilaria capitellata	(Grunow) J.B.Petersen, 1946	624288	Fragilaria recapitellata	H. Lange-Bertalot & D. Metzeltin, 2009	624288	
Fragilaria construens	149364	exact	Fragilaria construens	(Ehrenberg) Grunow, 1862	149364	Fragilaria construens	(Ehrenberg) Grunow, 1862	149364	
Fragilaria striatula	157458	exact	Fragilaria striatula	Lyngbye, 1819	157458	Fragilaria striatula	Lyngbye, 1819	157458	
Fragilaria capucina s.lat.	149361	exact	Fragilaria capucina	Desmazières, 1830	149361	Fragilaria capucina	Desmazières, 1830	149361	
Fragilaria capucina	149361	exact	Fragilaria capucina	Desmazières, 1830	149361	Fragilaria capucina	Desmazières, 1830	149361	
Fragilaria virescens	172412	exact	Fragilaria virescens	Ralfs, 1843	172411	Fragilariforma virescens	(Ralfs) D.M.Williams & Round, 1988	172411	
Meridion circulare var. circulare	180420	exact	Meridion circulare var. circulare	(Greville) C.Agardh, 1831	180420	Meridion circulare var. circulare	(Greville) C.Agardh, 1831	180420	
Meridion circulare var. constrictum	180421	exact	Meridion circulare var. constrictum	(Ralfs) Van Heurck, 1880	984298	Meridion constrictum f. constrictum	Ralfs, 1843	984298	
Pseudostaurosira elliptica	624337	exact	Pseudostaurosira elliptica	(Schumann) Edlund, Morales & Spaulding, 2006	983473	Fragilaria elliptica f. elliptica	Schumann, 1867	983473	
Tabularia	157059	exact	Tabularia	(F.T. Kutzing) D.M. Williams & F.E. Round, 1986	157059	Tabularia	(F.T. Kutzing) D.M. Williams & F.E. Round, 1986	157059	
Ulnaria	416120	exact	Ulnaria	(Kützing) P. Compère, 2001	416120	Ulnaria	(Kützing) P. Compère, 2001	416120	
Frustulia	156946	exact	Frustulia	L. Rabenhorst, 1853	156946	Frustulia	L. Rabenhorst, 1853	156946	
Amphiprora costata	163636	exact	Amphiprora costata	Hustedt, 1930	163638	Entomoneis costata	(Hustedt) Reimer, 1975	163638	
Amphipleura pellucida	163633	exact	Amphipleura pellucida	(Kützing) Kützing, 1844	163633	Amphipleura pellucida	(Kützing) Kützing, 1844	163633	
Berkeleya	156953	exact	Berkeleya	R.K. Greville, 1827	156953	Berkeleya	R.K. Greville, 1827	156953	
Brachysira brebissonii	163741	exact	Brachysira brebissonii	R.Ross, 1986	179420	Brachysira brebissonii f. brebissonii	R.Ross, 1986	179420	
Diploneis didyma	149195	exact	Diploneis didyma	(Ehrenberg) Ehrenberg, 1839	662632	Pinnularia didyma	Ehrenberg, 1844	662632	
Diploneis ovalis	149405	exact	Diploneis ovalis	(Hilse) Cleve, 1891	668985	Pinnularia ovalis	Hilse, 1860	668985	
Caloneis hyalina	609860	exact	Caloneis hyalina	Hustedt, 1937	609860	Caloneis hyalina	Hustedt, 1937	609860	
Caloneis undulata	626559	exact	Caloneis undulata	(W.Gregory) Krammer, 1985	985061	Pinnularia undulata f. undulata	Gregory, 1854	985061	
Navicula	149142	exact	Navicula	J.B.M. Bory de Saint-Vincent, 1822	149142	Navicula	J.B.M. Bory de Saint-Vincent, 1822	149142	
Navicula seminulum	175881	exact	Navicula seminulum	Grunow, 1860	1424676	Sellaphora saugerresii	(Desmazières) C.E.Wetzel & D.G.Mann in Wetzel et al., 2015	1424676	
Navicula cari	149452	exact	Navicula cari	Ehrenberg, 1836	149452	Navicula cari	Ehrenberg, 1836	149452	
Navicula cincta	149451	exact	Navicula cincta	(Ehrenberg) Ralfs, 1861	149451	Navicula cincta	(Ehrenberg) Ralfs, 1861	149451	
Navicula citrus	149462	exact	Navicula citrus	Krasske, 1923	149462	Navicula citrus	Krasske, 1923	149462	
Navicula cryptocephala	149203	exact	Navicula cryptocephala	Kützing, 1844	149203	Navicula cryptocephala	Kützing, 1844	149203	
Navicula digitoradiata	149459	exact	Navicula digitoradiata	(Gregory) Ralfs, 1861	149459	Navicula digitoradiata	(Gregory) Ralfs, 1861	149459	
Navicula flanatica	149445	exact	Navicula flanatica	Grunow, 1860	149445	Navicula flanatica	Grunow, 1860	149445	
Navicula granii	172797	exact	Navicula granii	(Jørgensen) Gran, 1908	172798	Stauroneis granii	E.Jorgensen, 1905	172798	
Navicula lanceolata	149466	exact	Navicula lanceolata	Ehrenberg, 1838	149466	Navicula lanceolata	Ehrenberg, 1838	149466	
Navicula menisculus	149458	exact	Navicula menisculus	Schumann, 1867	149458	Navicula menisculus	Schumann, 1867	149458	
Navicula meniscus	172826	exact	Navicula meniscus	J.Schumann, 1867	172826	Navicula meniscus	J.Schumann, 1867	172826	
Navicula oblonga	172833	exact	Navicula oblonga	(Kützing) Kützing, 1844	172833	Navicula oblonga	(Kützing) Kützing, 1844	172833	
Navicula pelliculosa	149428	exact	Navicula pelliculosa	(Kützing) Hilse, 1863	695407	Synedra minutissima var. pelliculosa	Kützing, 1849	695407	
Navicula peregrina	149456	exact	Navicula peregrina	(Ehrenberg) Kützing, 1844	149456	Navicula peregrina	(Ehrenberg) Kützing, 1844	149456	
Navicula peregrina var. peregrina	172725	exact	Navicula peregrina var. peregrina	(Ehrenberg) Kützing, 1844	172725	Navicula peregrina var. peregrina	(Ehrenberg) Kützing, 1844	172725	
Navicula perminuta	172731	exact	Navicula perminuta	Grunow, 1880	172731	Navicula perminuta	Grunow, 1880	172731	
Navicula pseudotenelloides	620992	exact	Navicula pseudotenelloides	Krasske, 1938	620992	Navicula pseudotenelloides	Krasske, 1938	620992	
Navicula pseudotuscula	172850	exact	Navicula pseudotuscula	Hustedt, 1943	172850	Navicula pseudotuscula	Hustedt, 1943	172850	
Navicula pusilla	149437	exact	Navicula pusilla	W.Smith, 1853	984285	Navicula pusilla f. pusilla	W. Smith, 1853	984285	
Navicula rostellata	149449	exact	Navicula rostellata	Kützing, 1844	149449	Navicula rostellata	Kützing, 1844	149449	
Navicula rotunda	610527	exact	Navicula rotunda	Hustedt, 1945	610527	Navicula rotunda	Hustedt, 1945	610527	
Navicula salinarum	149443	exact	Navicula salinarum	Grunow, 1880	149443	Navicula salinarum	Grunow, 1880	149443	
Navicula septentrionalis	549210	exact	Navicula septentrionalis	(Grunow) Gran, 1908	549210	Navicula septentrionalis	(Grunow) Gran, 1908	549210	
Navicula veneta	175328	exact	Navicula veneta	Kützing, 1844	175328	Navicula veneta	Kützing, 1844	175328	
Navicula viridula	661256	exact	Navicula viridula	(Kützing) Ehrenberg, 1836	661256	Navicula viridula	(Kützing) Ehrenberg, 1836	661256	
Navicula vulpina	175340	exact	Navicula vulpina	Kützing, 1844	175340	Navicula vulpina	Kützing, 1844	175340	
Navicula cuspidata	149420	exact	Navicula cuspidata	(Kutzing) Kutzing, 1844	163908	Frustulia cuspidata	Kutzing, 1833	163908	
