Strain name	Species	Division	Class	Habitat	Strain Link	Species Link
UIO 094	Chrysotila pseudoroscoffensis	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-094	https://norcca.scrol.net/species/chrysotila-pseudoroscoffensis
UIO 095	Chrysotila carterae	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-095	https://norcca.scrol.net/species/chrysotila-carterae
UIO 133	Prymnesium palpebrale	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-133	https://norcca.scrol.net/species/prymnesium-palpebrale
UIO 134	Haptolina hirta				https://norcca.scrol.net/strain/uio-134	https://norcca.scrol.net/species/haptolina-hirta
UIO 135	Chrysochromulina throndsenii	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-135	https://norcca.scrol.net/species/chrysochromulina-throndsenii
UIO 138	Dicrateria rotunda	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-138	https://norcca.scrol.net/species/dicrateria-rotunda
UIO 139	Emiliania huxleyi	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-139	https://norcca.scrol.net/species/emiliania-huxleyi
UIO 140	Isochrysis galbana	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-140	https://norcca.scrol.net/species/isochrysis-galbana
UIO 141	Pavlova gyrans	Haptophyta	Pavlovophyceae		https://norcca.scrol.net/strain/uio-141	https://norcca.scrol.net/species/pavlova-gyrans
UIO 202	Heterosigma akashiwo	Ochrophyta	Raphidophyceae	Marine	https://norcca.scrol.net/strain/uio-202	https://norcca.scrol.net/species/heterosigma-akashiwo
UIO 222	Prymnesium parvum	Haptophyta	Prymnesiophyceae	Brackish	https://norcca.scrol.net/strain/uio-222	https://norcca.scrol.net/species/prymnesium-parvum
UIO 223	Prymnesium parvum	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-223	https://norcca.scrol.net/species/prymnesium-parvum
UIO 224	Prymnesium parvum	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-224	https://norcca.scrol.net/species/prymnesium-parvum
UIO 226	Dunaliella tertiolecta	Chlorophyta	Chlorophyceae	Marine	https://norcca.scrol.net/strain/uio-226	https://norcca.scrol.net/species/dunaliella-tertiolecta
